event,covariate,coef,hazard_ratio,se,p
cvd,age,0.045682136873893844,1.046741637502412,0.0030437773564452927,6.471859725894514e-51
cvd,bmi,0.027786433064857282,1.028176076558313,0.004918341241526851,1.6086490880950327e-08
cvd,sex,-0.21411002503424162,0.8072595613754765,0.0541911849556509,7.782140394878946e-05
cvd,edu,0.08251828032504926,1.0860185260292654,0.0451234863302619,0.06744137077044368
cvd,wealth,-0.10360258844155545,0.9015835259485265,0.022813600302206322,5.591787956186589e-06
stroke,age,0.06405002160730847,1.0661457277506203,0.0054247568029750495,3.592129437119915e-32
stroke,bmi,0.00035961219134762306,1.0003596768595633,0.009609129284997648,0.9701469254725992
stroke,sex,-0.33343119887210054,0.7164611902822724,0.0987462188640232,0.0007337494893885617
stroke,edu,-0.08982731025101844,0.914089025446497,0.08427111291304393,0.28645419808941697
stroke,wealth,-0.12928609657734016,0.8787225300715987,0.04185903774269975,0.002010975931797882
hypertension,age,0.01956318227951649,1.019755795320967,0.0027587993363634455,1.329594589665753e-12
hypertension,bmi,0.043459981276761164,1.044418197192919,0.0042639270024006646,2.14233123227289e-24
hypertension,sex,-0.11836222186858306,0.8883742057633398,0.048754855255613516,0.015194855015353552
hypertension,edu,-0.06494788103959065,0.9371163036321687,0.04085841405596783,0.11192860710913462
hypertension,wealth,-0.13438629340424704,0.8742522814758553,0.02036187576922289,4.114420902585649e-11
diabetes,age,0.012267161271372682,1.0123427115071122,0.004402349541469781,0.005328008507413356
diabetes,bmi,0.08046066684935614,1.0837862170773367,0.005659728561975563,7.254173679480126e-46
diabetes,sex,-0.3339105224167332,0.7161178558556652,0.0761529343861803,1.1612645892588582e-05
diabetes,edu,-0.09004787903940191,0.9138874281715302,0.06483518378689193,0.16487117119914566
diabetes,wealth,-0.23587796122952795,0.7898770636767154,0.032304260982597664,2.840275403939134e-13
asthma_respir,age,0.00721002689468143,1.0072360817196138,0.004550828703229492,0.11311801976922417
asthma_respir,bmi,0.006010769168064884,1.0060288700897082,0.0074975511063959735,0.4227278704836094
asthma_respir,sex,-0.16561089010416685,0.8473758923938264,0.08009246528538957,0.03866389583359827
asthma_respir,edu,-0.19127860584790882,0.8259024548407186,0.06878242297790334,0.0054204631410875725
asthma_respir,wealth,-0.238404537378575,0.7878838981295122,0.03386847357959255,1.934459211086387e-12
cancer,age,0.030069867963897115,1.03052653222885,0.0038822853655813413,9.527853860734723e-15
cancer,bmi,0.017136234787398494,1.0172839023414764,0.006416149203080641,0.007567129849965959
cancer,sex,-0.28936638649886665,0.7487378277103338,0.06868136975214342,2.5180976736199702e-05
cancer,edu,-0.00561226804069002,0.9944034513147633,0.05737794142126261,0.9220813454780991
cancer,wealth,0.0495427461210566,1.0507905084731,0.028953433607648255,0.08705930191777035
arthritis,age,0.014648778910770014,1.014756598102416,0.003083423982203618,2.0259777223335493e-06
arthritis,bmi,0.040658832684471694,1.0414967202858176,0.004610633252204524,1.1601143933281809e-18
arthritis,sex,0.535803987068569,1.7088215605523356,0.05393480596009614,2.9527280525862623e-23
arthritis,edu,0.020574640019195616,1.0207877570175707,0.04392923112084531,0.6395280575914766
arthritis,wealth,-0.03756324776465585,0.9631334997534549,0.022133641940103373,0.08967567218743869
osteo_hip,age,0.042976840505581974,1.0439137180567262,0.00383387199581941,3.651224305204206e-29
osteo_hip,bmi,-0.037112374459628554,0.9635678488485191,0.006929310908080128,8.51534593441077e-08
osteo_hip,sex,1.0451773436812133,2.843902827129306,0.0824662522562937,8.240205839905647e-37
osteo_hip,edu,-0.14082756520184295,0.8686390823893004,0.0601629003659884,0.019243972835880873
osteo_hip,wealth,-0.07291357487857299,0.9296811743622408,0.0292434203891492,0.01265502235335392
mental_health,age,-0.03298012773373895,0.9675577869639511,0.005914897218571722,2.4643226089069055e-08
mental_health,bmi,0.019514157223482244,1.0197058029614092,0.008013437847066535,0.014884415993007834
mental_health,sex,0.4663057666191808,1.5940943456763008,0.10037816617109269,3.392702176977046e-06
mental_health,edu,0.14705439169995982,1.158416969584561,0.0803651817580767,0.06727578924398533
mental_health,wealth,-0.27815485869204365,0.7571795565990471,0.04024470609900618,4.792554820522704e-12
neuro,age,0.1004618584563234,1.1056814685017837,0.006993067101660418,8.467197670217021e-47
neuro,bmi,-0.0031169562693058282,0.996887896395729,0.012780341245657528,0.8073185083800383
neuro,sex,-0.31992116223260403,0.7262062872992808,0.12617138602146621,0.011225234366466915
neuro,edu,-0.17237953159171862,0.8416596761061628,0.10778653157106391,0.10976110614169828
neuro,wealth,-0.03147408600768436,0.9690160672032976,0.053107839626299655,0.5534188777678541
cataract,age,0.07191109849021209,1.0745598098278566,0.0022682276947289357,1.3837146981065802e-220
cataract,bmi,0.010256605814432522,1.0103093850869114,0.003667374954842141,0.005162490751881217
cataract,sex,0.35197651511793504,1.4218751307567072,0.03996393618930372,1.2813505666794713e-18
cataract,edu,0.015273538277059528,1.0153907748748958,0.03304754384877193,0.6439603927754667
cataract,wealth,-0.049121023430809874,0.9520659004442968,0.01645313807448327,0.0028310502745195125
death,age,0.11732347666817362,1.1244831149169539,0.003936473178147022,3.445389040996926e-195
death,bmi,-0.00643611964633015,0.9935845478085458,0.007209524152197793,0.37200466713908686
death,sex,-0.483447397472186,0.6166538722645712,0.06956505269255583,3.663940334690469e-12
death,edu,-0.13946286758243506,0.8698253213217811,0.05996704431382079,0.02003677495190229
death,wealth,-0.09431175167660981,0.9099990242936378,0.02922149362139143,0.0012488628726217417
