event,model,n_test_at_risk,n_test_events,c_index
cvd,Basic Cox,2515,461,0.6190041810170567
stroke,Basic Cox,2853,147,0.735992199391172
hypertension,Basic Cox,1990,521,0.6254884784157269
diabetes,Basic Cox,2761,255,0.6842888323754981
asthma_respir,Basic Cox,2554,228,0.6186826890895003
cancer,Basic Cox,2790,287,0.5830749363566397
arthritis,Basic Cox,2076,488,0.6010932755884782
osteo_hip,Basic Cox,2825,288,0.7222866013248859
mental_health,Basic Cox,2720,158,0.6070427260659635
neuro,Basic Cox,2937,80,0.8037698870186765
cataract,Basic Cox,2695,865,0.703979277816214
death,Basic Cox,2950,273,0.8300508998156936
cvd,Deep MultiCox,2515,461,0.6148397959131454
stroke,Deep MultiCox,2853,147,0.7267340726244835
hypertension,Deep MultiCox,1990,521,0.631655413608576
diabetes,Deep MultiCox,2761,255,0.678852199683614
asthma_respir,Deep MultiCox,2554,228,0.6368592138865073
cancer,Deep MultiCox,2790,287,0.581073130661299
arthritis,Deep MultiCox,2076,488,0.5994934306548226
osteo_hip,Deep MultiCox,2825,288,0.728611396906193
mental_health,Deep MultiCox,2720,158,0.6002333960585241
neuro,Deep MultiCox,2937,80,0.7932557067097071
cataract,Deep MultiCox,2695,865,0.7024692532129766
death,Deep MultiCox,2950,273,0.8327919093856397
cvd,Binary time series,2515,461,0.6327664822652208
stroke,Binary time series,2853,147,0.7565775168514894
hypertension,Binary time series,1990,521,0.6291716023165246
diabetes,Binary time series,2761,255,0.6760307575241795
asthma_respir,Binary time series,2554,228,0.6310995318897259
cancer,Binary time series,2790,287,0.5827733704339589
arthritis,Binary time series,2076,488,0.595301431904611
osteo_hip,Binary time series,2825,288,0.7334741250157939
mental_health,Binary time series,2720,158,0.6109346053418523
neuro,Binary time series,2937,80,0.7985877334563062
cataract,Binary time series,2695,865,0.7043880008218019
death,Binary time series,2950,273,0.8326162244992574
cvd,Transformer,2515,461,0.5795058518886222
stroke,Transformer,2853,147,0.6301845509893456
hypertension,Transformer,1990,521,0.5903019343275733
diabetes,Transformer,2761,255,0.6475139670397886
asthma_respir,Transformer,2554,228,0.5867310681258625
cancer,Transformer,2790,287,0.5605869989935469
arthritis,Transformer,2076,488,0.5787735582952538
osteo_hip,Transformer,2825,288,0.6357899676901139
mental_health,Transformer,2720,158,0.5721470978658848
neuro,Transformer,2937,80,0.6813119667973253
cataract,Transformer,2695,865,0.6762645185598721
death,Transformer,2950,273,0.7168724186115363
