Characteristic,Overall,,Male,,Female,,
N,15137,,"6,849",,"8,288",,
"Age at entry, mean (SD)",62.2 (9.8),,62.5 (9.3),,62.0 (10.2),,
"Women, n (%)",8288 (54.8),,,,,,
"BMI, mean (SD)",28.2 (5.0),,28.2 (4.4),,28.2 (5.5),,
"Education, median (IQR)",2.0 (1.0-2.0),,2.0 (1.0-2.0),,2.0 (1.0-2.0),,
"Wealth quintile, median (IQR)",3.0 (2.0-4.0),,3.0 (2.0-4.1),,2.9 (1.9-4.0),,
"Follow-up (y), median (IQR)",10.1 (5.8-15.8),,10.0 (5.4-14.5),,10.2 (6.0-15.9),,
"Multimorbid (2+) at entry, n (%)","5,316 (35.1)",,"2,227 (32.5)",,"3,089 (37.3)",,
,,,,,,,
,,,,,,,
,"Prevalent at entry, n (%)","Incident during follow-up, n (%)","Incident, %",,,,
    cvd,"2,256 (14.9)","2,202 (17.1)",17.1,,"1,201 (17.5)",,"1,055 (12.7)"
    stroke,468 (3.1),699 (4.8),4.8,,245 (3.6),,223 (2.7)
    hypertension,"4,728 (31.2)","2,664 (25.6)",25.6,,"2,216 (32.4)",,"2,512 (30.3)"
    diabetes,"1,042 (6.9)","1,111 (7.9)",7.9,,597 (8.7),,445 (5.4)
    asthma_respir,"2,052 (13.6)","1,012 (7.7)",7.7,,842 (12.3),,"1,210 (14.6)"
    cancer,872 (5.8),"1,301 (9.1)",9.1,,322 (4.7),,550 (6.6)
    arthritis,"4,320 (28.5)","2,319 (21.4)",21.4,,"1,557 (22.7)",,"2,763 (33.3)"
    osteo_hip,608 (4.0),"1,316 (9.1)",9.1,,104 (1.5),,504 (6.1)
    mental_health,"1,081 (7.1)",756 (5.4),5.4,,381 (5.6),,700 (8.4)
    neuro,125 (0.8),439 (2.9),2.9,,71 (1.0),,54 (0.7)
    cataract,"1,381 (9.1)","4,006 (29.1)",29.1,,544 (7.9),,837 (10.1)
death,,"1,671 (11.0)",11,,,,
,,,,,,,
"Incident during follow-up, n (%)",,,,,,,
    cvd,"2,202 (17.1)","1,052 (18.6)","1,150 (15.9)",,,,
    stroke,699 (4.8),342 (5.2),357 (4.4),,,,
    hypertension,"2,664 (25.6)","1,230 (26.5)","1,434 (24.8)",,,,
    diabetes,"1,111 (7.9)",556 (8.9),555 (7.1),,,,
    asthma_respir,"1,012 (7.7)",506 (8.4),506 (7.1),,,,
    cancer,"1,301 (9.1)",655 (10.0),646 (8.3),,,,
    arthritis,"2,319 (21.4)",892 (16.9),"1,427 (25.8)",,,,
    osteo_hip,"1,316 (9.1)",314 (4.7),"1,002 (12.9)",,,,
    mental_health,756 (5.4),265 (4.1),491 (6.5),,,,
    neuro,439 (2.9),216 (3.2),223 (2.7),,,,
    cataract,"4,006 (29.1)","1,582 (25.1)","2,424 (32.5)",,,,
    death,"1,671 (11.0)",857 (12.5),814 (9.8),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Condition,"Prevalent at entry, n (%)","During follow-up, n (%)","Incident, %",,,,
    cvd,"2,256 (14.9)","2,202 (17.1)",17.1,,,,
    stroke,468 (3.1),699 (4.8),4.8,,,,
    hypertension,"4,728 (31.2)","2,664 (25.6)",25.6,,,,
    diabetes,"1,042 (6.9)","1,111 (7.9)",7.9,,,,
    asthma_respir,"2,052 (13.6)","1,012 (7.7)",7.7,,,,
    cancer,872 (5.8),"1,301 (9.1)",9.1,,,,
    arthritis,"4,320 (28.5)","2,319 (21.4)",21.4,,,,
    osteo_hip,608 (4.0),"1,316 (9.1)",9.1,,,,
    mental_health,"1,081 (7.1)",756 (5.4),5.4,,,,
    neuro,125 (0.8),439 (2.9),2.9,,,,
    cataract,"1,381 (9.1)","4,006 (29.1)",29.1,,,,
death,,"1,671 (11.0)",11,,,,
