interval,event,n_at_risk,n_events,auc
0,cvd,2515,90,0.6081099656357388
0,stroke,2853,21,0.6671206618240516
0,hypertension,1990,148,0.5908640725415969
0,diabetes,2761,38,0.5607978815934438
0,asthma_respir,2554,56,0.577347592359602
0,cancer,2790,42,0.5572191030706314
0,arthritis,2076,108,0.6266561276723879
0,osteo_hip,2825,51,0.6192162517494381
0,mental_health,2720,43,0.5659841370503254
0,neuro,2937,9,0.8060109289617486
0,cataract,2695,115,0.7020694304010786
0,death,2950,2,0.4816824966078697
1,cvd,2399,50,0.5954704129416774
1,stroke,2800,17,0.6218849738961341
1,hypertension,1819,117,0.6287424548294114
1,diabetes,2692,37,0.6363923245279177
1,asthma_respir,2472,30,0.5264810264810265
1,cancer,2717,37,0.5259177087535297
1,arthritis,1943,82,0.5552286339628576
1,osteo_hip,2744,43,0.6560791438140913
1,mental_health,2647,38,0.5556071089951786
1,neuro,2895,12,0.5734767025089607
1,cataract,2550,108,0.7275571025571025
1,death,2922,39,0.7243967733041614
2,cvd,2147,75,0.5978185328185328
2,stroke,2532,23,0.6277054776716862
2,hypertension,1564,67,0.5681312874505229
2,diabetes,2407,35,0.6309925319200191
2,asthma_respir,2226,48,0.5471667431894705
2,cancer,2437,43,0.5774513803889569
2,arthritis,1683,80,0.5379288833437306
2,osteo_hip,2453,37,0.6287139788795417
2,mental_health,2368,24,0.5646864334470989
2,neuro,2614,14,0.596978021978022
2,cataract,2231,116,0.672328197603326
2,death,2720,52,0.8071949602122016
3,cvd,1903,71,0.6001137831354941
3,stroke,2292,25,0.6378650198500222
3,hypertension,1372,61,0.6002175788723413
3,diabetes,2172,50,0.6106880301602262
3,asthma_respir,1986,24,0.6327089704383282
3,cancer,2185,44,0.5169844167975882
3,arthritis,1457,57,0.5571052631578948
3,osteo_hip,2205,35,0.6563133640552996
3,mental_health,2136,18,0.3841674535725527
3,neuro,2371,12,0.6529956196128303
3,cataract,1937,115,0.6897723476351836
3,death,2491,58,0.8428221154527545
4,cvd,1618,50,0.4832015306122449
4,stroke,1992,23,0.46949455693686926
4,hypertension,1145,43,0.5269277845777233
4,diabetes,1860,38,0.514862210410769
4,asthma_respir,1715,28,0.5057159793377932
4,cancer,1881,36,0.5381812707015959
4,arthritis,1227,57,0.42736542210226425
4,osteo_hip,1904,29,0.5873655172413793
4,mental_health,1867,14,0.6048878266903092
4,neuro,2073,16,0.4579180845892076
4,cataract,1602,123,0.599443702347774
4,death,2194,70,0.7870729082593488
5,cvd,1329,40,0.512199379363848
5,stroke,1662,11,0.5821815979296294
5,hypertension,935,45,0.5279900124843945
5,diabetes,1547,28,0.6986034044954387
5,asthma_respir,1422,16,0.6162428876244666
5,cancer,1545,26,0.4897705980655289
5,arthritis,992,35,0.6368711748022093
5,osteo_hip,1582,39,0.6141881449723317
5,mental_health,1555,5,0.42735483870967744
5,neuro,1727,12,0.6319727891156462
5,cataract,1265,95,0.5884390463337832
5,death,1816,49,0.747398450042156
6,cvd,966,42,0.4940218511647083
6,stroke,1236,18,0.5078908958219304
6,hypertension,661,18,0.5281665802661136
6,diabetes,1128,10,0.6007155635062611
6,asthma_respir,1054,15,0.5224895733076677
6,cancer,1139,27,0.4756528110844657
6,arthritis,717,42,0.501657848324515
6,osteo_hip,1151,27,0.5493277975484381
6,mental_health,1154,5,0.38015665796344644
6,neuro,1274,3,0.8775242591135588
6,cataract,896,98,0.5629635312771725
6,death,1312,0,
7,cvd,728,43,0.5430996435240196
7,stroke,962,8,0.6999475890985325
7,hypertension,511,22,0.4629113218070273
7,diabetes,881,19,0.5119672731713274
7,asthma_respir,810,11,0.5593355330526795
7,cancer,874,32,0.5229735748218527
7,arthritis,527,27,0.5425185185185184
7,osteo_hip,887,27,0.6020241171403962
7,mental_health,907,11,0.4806209415584416
7,neuro,1015,2,0.5217176702862785
7,cataract,607,95,0.5481291118421052
7,death,1034,0,
8,cvd,496,0,
8,stroke,684,1,0.2635431918008785
8,hypertension,367,0,
8,diabetes,608,0,
8,asthma_respir,565,0,
8,cancer,611,0,
8,arthritis,366,0,
8,osteo_hip,627,0,
8,mental_health,649,0,
8,neuro,726,0,
8,cataract,375,0,
8,death,742,0,
